1\Tenacity\1\1\100, 0\300, 0\Increase DEF by 3%\Increase DEF by 5%\-\\\
408\Chrysaor\4\9\100, 100\100, 100\When equipped to Gorgon (Avenger) only. Increase Buster Card effectiveness and NP Gain of all allies by 10% while she's on the field\\-\\\
409\The Tomorrow Not Meant to Be\4\9\100, 100\100, 100\When equipped to Medusa (Lancer) only. Increase Quick Card effectiveness & NP Gain of all allies by 10% while she's on the field\\-\\\
410\Primordial Fire\4\9\100, 100\100, 100\When equipped to Jaguar Warrior (Lancer) only. Increase Buster Card effectiveness of all allies by 15% while she's on the field\\-\\\
411\The Tower of Avalon\4\9\100, 100\100, 100\When equipped to Merlin (Caster) only. Increase Buster Card effectiveness of all allies by 10% & Critical Strength by 15% while he's on the field\\-\\\
412\First Sunrise\5\12\0, 500\0, 2000\Increase Buster Card effectiveness by 15%; Increase NP Gauge by 40% at the start of battle\Increase Buster Card effectiveness by 20%; Increase NP Gauge by 50% at the start of battle\-\Mifuji Kiichi\\\New Year 2017(JP)/2019(NA)
413\Izome, the First Arrow\4\9\320, 200\1200, 750\Apply Sure Hit; Increase Arts Card effectiveness by 8%\Apply Sure Hit; Increase Arts Card effectiveness by 10%\-\Suzuki Jirou\\\New Year 2017(JP)/2019(NA)
414\Over the Cuckoo's Nest\3\5\0, 200\0, 1000\Increase QP from clearing quests by 2017 (JP); Increase QP from clearing quests by 2019 (NA)\Increase QP from clearing quests by 2017(JP)/2019(NA); Apply Damage Plus 17(JP)/19(NA)\-\Riyo\\\New Year 2017(JP)/2019(NA)
415\Cheers to (Year)\4\9\2017, 0\2019, 0\Restore 100 HP per turn\\-\Mika Pikazo\NewYear\\New Year 2017(JP)/2019(NA)
416\Buddha of Emptiness\4\9\100, 100\100, 100\When equipped to Miyamoto Musashi (Saber) only. Increase NP Strength by 30%; Apply Debuff Immune (3 times)\\-\\\
417\Abyss of the Valley\4\9\100, 100\100, 100\When equipped to ""First Hassan"(Assassin) only. Increase Debuff Resist by 100%\\-\\\
418\Reality Marble\3\5\160, 100\800, 500\Increase NP Strength by 15% when equipped to an [Archer] class\Increase NP Strength by 25% when equipped to an [Archer] class\-\\\
419\Potion of Youth\3\5\300, 0\1500, 0\Increase ATK Debuff Resist by 25%\Increase ATK Debuff Resist by 30%\-\\\
420\Mysterious Mask Gallery\3\5\160, 100\800, 500\Increase Critical Star Gather Rate by 100%; Increase Critical Star Drop Rate by 5%\Increase Critical Star Gather Rate by 200%; Increase Critical Star Drop Rate by 10%\-\\\
421\Cute Orangette\5\12\0, 500\0, 2000\Increase NP Gain by 25%; Increase NP Strength by 15%; Increase Coin Choco drops received from class weak to the Servant equipped by 5 [Valentines 2]\Increase NP Gain by 30%; Increase NP Strength by 20%; Increase Coin Choco drops received from class weak to the Servant equipped by 6 [Valentines 2]\-\Bob\\\Rerun: Chocolate Lady's Commotion ~Valentine's 2016~ Expanded Version
422\Chocolatier\5\12\400, 250\1600, 1000\Increase Arts Card effectiveness by 15%; Gain 3 Critical Stars per turn [Valentines 2]\Increase Arts Card effectiveness by 20%; Gain 4 Critical Stars per turn [Valentines 2]\-\Fujiwara Ryo\\\Rerun: Chocolate Lady's Commotion ~Valentine's 2016~ Expanded Version
423\Choco Angel\4\9\0, 400\0, 1500\Increase Buster Card effectiveness by 8%; Increase NP Gain by 15%; Increase Coin Choco drops received from class weak to the Servant equipped by 1 [Valentines 2]\Increase Buster Card effectiveness by 10%; Increase NP Gain by 20%; Increase Coin Choco drops received from class weak to the Servant equipped by 2 [Valentines 2]\-\Shino\\\Rerun: Chocolate Lady's Commotion ~Valentine's 2016~ Expanded Version
424\Bitter Black\4\9\320, 200\1200, 750\Increase HP Recovery Amount by 15%; Increase NP Gain by 15%; Increase Coin Choco drops received from class weak to the Servant equipped by 5 [Valentines 2]\Increase HP Recovery Amount by 20%; Increase NP Gain by 20%; Increase Coin Choco drops received from class weak to the Servant equipped by 6 [Valentines 2]\-\Naora Yusuke\\\Rerun: Chocolate Lady's Commotion ~Valentine's 2016~ Expanded Version
425\Blissful Time\3\5\0, 200\0, 1000\Increase HP Recovery Amount by 5%; Increase Critical Star Drop Rate by 5%; Increase Coin Choco drops received from class weak to the Servant equipped by 3 [Valentines 2]\Increase HP Recovery Amount by 10%; Increase Critical Star Drop Rate by 10%; Increase Coin Choco drops received from class weak to the Servant equipped by 4 [Valentines 2]\-\MELON24\\\Rerun: Chocolate Lady's Commotion ~Valentine's 2016~ Expanded Version
426\Composure of the Victor\3\5\300, 0\1500, 0\Apply Damage Cut 100; Increase Critical Star Drop Rate by 5%; Increase Coin Choco drops received from class weak to the Servant equipped by 1 [Valentines 2]\Apply Damage Cut 200; Increase Critical Star Drop Rate by 10%; Increase Coin Choco drops received from class weak to the Servant equipped by 2 [Valentines 2]\-\TCB\\\Rerun: Chocolate Lady's Commotion ~Valentine's 2016~ Expanded Version
427\Sweet Crystal\5\12\0, 500\0, 2000\Apply Ignore Invincible; Increase NP Gauge by 30% at the start of battle; Increase Coin Choco drops from all classes by 2 [Valentines 2]\Apply Ignore Invincible; Increase NP Gauge by 50% at the start of battle; Increase Coin Choco drops from all classes by 3 [Valentines 2]\-\Shiromizakana\\\Rerun: Chocolate Lady's Commotion ~Valentine's 2016~ Expanded Version
428\Fondant au Chocolat\5\12\0, 500\0, 2000\Apply Special Attack [Divine] 25%; Increase NP Gauge by 30% at the start of battle; Increase Coin Choco drops from all classes by 2 [Valentines 2]\Apply Special Attack [Divine] 30%; Increase NP Gauge by 50% at the start of battle; Increase Coin Choco drops from all classes by 3 [Valentines 2]\-\Hanamura Mai\\\Rerun: Chocolate Lady's Commotion ~Valentine's 2016~ Expanded Version
429\Mini Black Knight\4\9\100, 100\100, 100\When equipped to Heroine X [Alter] (Berserker) only. Apply Special Attack [Saber] 20% to all allies while she's on the field\\-\\\
430\High-End Japanese Sweets\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Matsuyuki Ann\\
431\Special Dumplings\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Arai Kasumi\\
432\Dragon Cosplay\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
433\Brief Moment of Joy\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Furudate Koichi\\
434\Hanuman's Favorite Bananas\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
435\Blossom of Noble Hope\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Matsuyuki Ann\\
436\Your Skin's Best Friend\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
437\Legendary Chocolate Orb\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
438\Cena, Caesar Style\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
439\Jeanne Fan Club Monthly\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu & Veia\\
440\Our Room is Ready\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
441\Silver Box of Cookies\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Saber drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
442\Lapis Lazuli Bracelet\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
443\Snack Stick (BBQ Flavor)\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\AMAO\\
444\AC Lightning Cookies\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Ichihashi Makoto\\
445\Karna's Bane\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
446\Blue Sky Vanilla Mountain\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
447\Chocolate Gems\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
448\Kitchen Starter Set\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Aono Sumio\\
449\Tristan's Greatest Hits\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Take & Veia\\
450\Just an Ordinary (?) Chocolate\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Kuzuboshi Hikaru\\
451\Just Pay Me Back with a Kiss\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Gin\\
452\Nameless Commemorative Coins\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
453\My Love for Abishag\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
454\Waku Waku Zabuun VIP Ticket\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
455\Silver Bullet\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Kuzuboshi Hikaru\\
456\Touta's Secret Fishing Gear\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Okamoto Hirokazu\\
457\Hummus Dip\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Archer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
458\Dusk Earrings\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
459\World's End Castle\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
460\Chocolate Screwdriver\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
461\White Flower\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
462\Red Flower\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
463\DHA\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
464\Tieguanyin Tea (?)\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Matsuyuki Ann\\
465\Just Some Ordinary Chocolates\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
466\Carnivore Carnival\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
467\Bitter Bitter Bitter Chocolates\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
468\Chocolate Egg\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
469\Rune Stone Earring Chocolates\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
470\Remnant from 1999\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
471\Pax Romana\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
472\Miniature Trojan Horse\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
473\White Rose Bouquet\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
474\Cacao Beans\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Aono Sumio\\
475\Blank Subscription List\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
476\Iron Marshmallows\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Lancer drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
477\Medb's Honey Chocolate\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Aono Sumio\\
478\Goblet of a Hero\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
479\Sphinx Awlad\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Take\\
480\Xocolatl Libertad\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Kuzuboshi Hikaru\\
481\Hippogriff Plushie (1:1 Scale)\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
482\Cute Rabbit Chocolates\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
483\Rider Belt Replica\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
484\Super Thunder Chocolate Crunch Stick\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
485\Half-Read Iliad\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Akita Inu\\
486\Bayard's Mane\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
487\Secret, Prized, Treasured Albums\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Rider drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Hayosena\\
488\Cigar and Wine\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
489\Peach Compote\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Aomidori\\
490\Bastenyan X\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
491\Chocolate of Perfection\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
492\Lovingly Handmade Chocolates\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Gin\\
493\Puppet Fou\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Beppu Mitsunaka\\
494\UFO\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
495\DC Grateful Cookies\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Ichihashi Makoto\\
496\Mama's Best Cake\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Sasaki Midori\\
497\Blessings of the Nile\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Eihi\\
498\Mont Blanc au Chocolat\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\alma\\
499\Evenings by the Euphrates\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Tateishi Takeru\\
500\Gilles Doll Rais\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
501\Tick-Tock\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\Aoki Daichi\\
502\Druid's Staff\4\3\0, 0\0, 0\No Effect; Increase Coin Choco of Caster drop amount by 2; Increase Fer Flavor drop amount by 1\\-\\\
